vendor_id,vendor_name,entity_name,entity_id,fiscal_year,account,description,level_primary,level_secondary,level_tertiary,level_quaternary,net_amount,num_twg
2080409,tecserv inc,Tooele City Corporation,605,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,174720,2
2083979,peck striping inc,Riverton,561,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,37411.59,8
2120549,geneva rock products,Riverton,561,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,175869.2,2
2162041,tyler technologies,Tooele City Corporation,605,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,25194.31,6
2162041,tyler technologies,Tooele City Corporation,605,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,57620.72,14
2163595,salt lake county,Riverton,561,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,159366,9
2182289,central utah narcotics task force,Richfield,555,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,31400,1
2184669,rush truck centers,Pleasant View,547,2018,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,87204.7,1
2191545,chamber of commerce,Brigham City,373,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,28500,2
2191545,chamber of commerce,Brigham City,373,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,28700,3
2216485,l n curtis  sons,Washington City,613,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,29726.5,2
2223351,north sanpete disposal,Moroni,509,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,57090,12
2223351,north sanpete disposal,Moroni,509,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,60349.16,13
2365793,tooele county auditor,Tooele City Corporation,605,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,376071.1,6
2506153,sanpete county fire district,Gunnison,435,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,30976.75,12
2506153,sanpete county fire district,Gunnison,435,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,31462.5,12
2506169,sanpete sanitary landfill,Gunnison,435,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,25693.2,12
2506169,sanpete sanitary landfill,Gunnison,435,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,26481.64,13
2506171,whites sanitation,Gunnison,435,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,64787.85,12
2506171,whites sanitation,Gunnison,435,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,70229.95,12
2578493,advanced paving  construction,Plain City,543,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,229639.89,2
2581613,riverdale center iv llc,Riverdale,559,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,198528,1
2581613,riverdale center iv llc,Riverdale,559,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,196873,1
2707181,middle canyon irrigation co,Tooele City Corporation,605,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,33557.04,5
2764115,west side grading inc,Delta City,391,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,123750,1
2902407,cedar city housing authority,Cedar City,377,2018,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,206062,1
2902407,cedar city housing authority,Cedar City,377,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,206236,2
2974577,alta chamber visitors bureau,Alta Town,357,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,49000,7
2974577,alta chamber visitors bureau,Alta Town,357,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,49000,5
2995661,granite school district,South Salt Lake,587,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,46937.5,39
3006235,watchguard video,Roy,565,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,36092,6
3095201,utah state treasurer,Grantsville,431,2018,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,57673.28,13
3095201,utah state treasurer,Grantsville,431,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,58363,11
3131929,hg utah 1 llc,Santaquin,577,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,36000,5
3131929,hg utah 1 llc,Santaquin,577,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,143078,2
3203767,advanced paving  constr inc,Pleasant View,547,2018,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,381056.3,4
3264833,grantsville city corporation,Tooele City Corporation,605,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,117225,1
3264833,grantsville city corporation,Tooele City Corporation,605,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,232950,2
3428115,settlement canyon irr co,Tooele City Corporation,605,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,34170,3
3443223,south davis metro fire agency,Centerville,381,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,642212.75,3
3443223,south davis metro fire agency,Centerville,381,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,447160.5,2
3443265,utah infrastructure agency,Centerville,381,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,232407.85,44
3443265,utah infrastructure agency,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,254339.7,43
3603467,hawks janitorial contracting,Tooele City Corporation,605,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,42000,24
3708953,crafco inc,Pleasant View,547,2018,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,37710,2
3755779,geneva rock products inc,Kamas,465,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,379577.18,3
3814555,city of logan,Providence,551,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,127509.05,22
3814555,city of logan,Providence,551,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,75970.66,3
3865873,legacy crossing theatre llc,Centerville,381,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,148202.77,1
3865873,legacy crossing theatre llc,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,306661.8,2
3996603,midvale boys  girls club,Midvale,491,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,40000,1
3996603,midvale boys  girls club,Midvale,491,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,40000,1
4085201,city of logan,Providence,551,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,585154.55,144
4085201,city of logan,Providence,551,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,747444.1,111
4085239,cache county corporation,Providence,551,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,96777.8,2
4085239,cache county corporation,Providence,551,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,96777.8,2
4184363,sanpete sanitary landfill corp,Manti City,485,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,54489.6,13
4184363,sanpete sanitary landfill corp,Manti City,485,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,51742.8,12
4184435,sanpete county fire district 2,Manti City,485,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,57791.25,12
4184435,sanpete county fire district 2,Manti City,485,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,63082.5,13
4250503,post asphalt paving,Pleasant View,547,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,420309.48,4
4322135,powell landscape inc,Tooele City Corporation,605,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,27845,7
4351845,ironwood development group,Smithfield,581,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,373541.26,6
4388463,true phaze electric,Brigham City,373,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,184736.02,3
4389465,sanpete county sheriff,Manti City,485,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,120000,3
4389465,sanpete county sheriff,Manti City,485,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,120000,3
4532127,ut state division of finance,Willard,637,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,58801.44,2
4532127,ut state division of finance,Willard,637,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,27159.55,1
4695547,boys  girls club of northern utah,Brigham City,373,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,47500,3
4695547,boys  girls club of northern utah,Brigham City,373,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,50000,2
4697747,city of bountiful,West Bountiful,623,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,130888.17,24
4697747,city of bountiful,West Bountiful,623,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,101999.94,18
4697749,bountiful city  gateway rda,West Bountiful,623,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,64373.69,12
4697749,bountiful city  gateway rda,West Bountiful,623,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,49430.77,9
4697751,johansenthackeray,West Bountiful,623,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,161601,3
4724627,bboy federation the,South Salt Lake,587,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,32520,45
4861559,garfield  county,Escalante,411,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,55000,2
4861559,garfield  county,Escalante,411,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,27500,1
4905275,dell marketing lp,Tooele City Corporation,605,2019,40060200,Grants and Contracts - State,EXPENDITURES,Grants and Contracts,State,NA,26020.8,4
4952331,artistic resource for teachers and students inc,Washington City,613,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,74113,2
5116217,pasture llc,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,59087.16,2
5116309,centerpoint legacy theatre,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,26051.57,5
5318179,knight realty management co,Tooele City Corporation,605,2019,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,28676,2
5490171,maxwell products inc,Riverton,561,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,31896.77,10
5491038,black forest paving llc,Riverton,561,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,53795.69,1
5520557,spillman technologies inc,Tooele City Corporation,605,2019,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,30055.66,2
5523569,maddox construction,West Valley City,631,2018,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,158175.47,9
5535336,staker  parson companies,Smithfield,581,2019,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,94900,1
5539011,horrocks engineers inc,Santaquin,577,2018,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,125603.87,4
5539011,horrocks engineers inc,Santaquin,577,2019,40060100,Grants and Contracts - Federal,EXPENDITURES,Grants and Contracts,Federal,NA,149366.84,12
5572893,dayton west llc,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,192761.54,2
5635876,h  s llc,Centerville,381,2019,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,30691.58,2
5663083,not provided,Meadow Town,1301,2018,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,36600,1
5691181,not provided,Fielding Town,1255,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,38020.33,13
5691181,not provided,Fielding Town,1255,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,36969.7,16
5692334,not provided,Sigurd Town,1329,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,92156.4,1
5696738,not provided,Oakley ,527,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,182620.63,4
5701718,grangerhunter improvement district,West Valley City,631,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,91847,1
5703773,not provided,Escalante,411,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,127826.7,4
5703773,not provided,Escalante,411,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,870007.93,12
5703773,not provided,Escalante,411,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,502670.77,16
5703883,not provided,Levan,477,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,120586.84,2
5704114,not provided,Fillmore,421,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,644018.03,16
5704114,not provided,Fillmore,421,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,58218.44,17
5707314,not provided,Francis,423,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,82300,2
5708737,not provided,Elsinore Town,1029,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,30000,1
5712846,not provided,Cleveland Town,1241,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,25174.49,144
5713038,not provided,Fountain Green City,1065,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,45203,5
5713297,not provided,Millcreek City,1371,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,45000,3
5713433,ds accounting services llc,Nibley,519,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,28700,13
5713433,ds accounting services llc,Nibley,519,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,29650,12
5713448,logan city,Nibley,519,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,768692.04,26
5713448,logan city,Nibley,519,2019,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,891419.22,26
5713812,not provided,Mt. Pleasant,511,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,133848.57,10
5714022,not provided,Bluffdale,367,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,80000,2
5714022,not provided,Bluffdale,367,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,25740,1
5714022,not provided,Bluffdale,367,2019,30030302,Intergovernmental - Local  - Capital Grants,REVENUES,Intergovernmental,Local,Capital Grants,85000,1
5731524,not provided,Parowan,537,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,106213.83,8
5731524,not provided,Parowan,537,2018,30030302,Intergovernmental - Local  - Capital Grants,REVENUES,Intergovernmental,Local,Capital Grants,41612.880000000005,3
5731524,not provided,Parowan,537,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,132486.38,7
5731524,not provided,Parowan,537,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,62002.75,6
5731524,not provided,Parowan,537,2019,30030302,Intergovernmental - Local  - Capital Grants,REVENUES,Intergovernmental,Local,Capital Grants,43808.36,3
5732394,not provided,Green River,433,2018,30061201,Miscellaneous  - Private Grants - Operating,REVENUES,Miscellaneous,Private Grants,Operating,157761.77,14
5732394,not provided,Green River,433,2018,30061202,Miscellaneous  - Private Grants -  Capital,REVENUES,Miscellaneous,Private Grants,Capital,136590.6,3
5732394,not provided,Green River,433,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,40000,1
5732394,not provided,Green River,433,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,2470000,1
5732394,not provided,Green River,433,2019,30061201,Miscellaneous  - Private Grants - Operating,REVENUES,Miscellaneous,Private Grants,Operating,261930.76,6
5735374,not provided,Wendover,621,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,197476,5
5735374,not provided,Wendover,621,2018,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,36855.92,15
5735374,not provided,Wendover,621,2018,30030302,Intergovernmental - Local  - Capital Grants,REVENUES,Intergovernmental,Local,Capital Grants,31038.83,6
5735374,not provided,Wendover,621,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,27055.47,8
5735374,not provided,Wendover,621,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,417216,13
5735374,not provided,Wendover,621,2019,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,36797.05,14
5735420,not provided,Fayette Town,1253,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,67505.68,1
5735420,not provided,Fayette Town,1253,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,213146.54,4
5742311,not applicable,Morgan,507,2018,40060300,Grants and Contracts - Local,EXPENDITURES,Grants and Contracts,Local,NA,49528.16,4
5742312,not provided,Morgan,507,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,60000,2
5742521,not provided,Blanding,365,2018,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,1631388.52,5
5742521,not provided,Blanding,365,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,332701.01,11
5742521,not provided,Blanding,365,2018,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,395295.42,11
5742521,not provided,Blanding,365,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,205272.59,6
5742521,not provided,Blanding,365,2019,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,176496.37,11
5743437,not provided,Monroe,503,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,44500,2
5743437,not provided,Monroe,503,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,3651078.6,5
5743437,not provided,Monroe,503,2019,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,25824.16,2
5743452,not provided,Manila Town,1147,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,43050,2
5743452,not provided,Manila Town,1147,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,41445.62,1
5743452,not provided,Manila Town,1147,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,1332000,2
5743460,not provided,La Verkin,471,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,335637.96,19
5743460,not provided,La Verkin,471,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,199472.19,18
5743511,not provided,Roosevelt City Corporation,563,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,5417628.39,9
5743511,not provided,Roosevelt City Corporation,563,2018,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,133640.44,5
5743511,not provided,Roosevelt City Corporation,563,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,232579.68,6
5743511,not provided,Roosevelt City Corporation,563,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,228902,4
5743511,not provided,Roosevelt City Corporation,563,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,1311547.62,13
5743511,not provided,Roosevelt City Corporation,563,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,28007.16,13
5743511,not provided,Roosevelt City Corporation,563,2019,30030301,Intergovernmental - Local  - Operating Grants,REVENUES,Intergovernmental,Local,Operating Grants,53455,5
5747963,american fork parks  recreation,American Fork,359,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,677752,1
5747999,housing authority of utah county,American Fork,359,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,50000,1
5752235,not provided,Ogden,529,2018,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,3187549.14,194
5752235,not provided,Ogden,529,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,447630.77,38
5752235,not provided,Ogden,529,2018,30061201,Miscellaneous  - Private Grants - Operating,REVENUES,Miscellaneous,Private Grants,Operating,192593.38999999998,53
5752235,not provided,Ogden,529,2018,40060000,Grants and Contracts,EXPENDITURES,Grants and Contracts,NA,NA,786698.46,371
5752235,not provided,Ogden,529,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,6354490.45,229
5752235,not provided,Ogden,529,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,344416.9,50
5752235,not provided,Ogden,529,2019,30061201,Miscellaneous  - Private Grants - Operating,REVENUES,Miscellaneous,Private Grants,Operating,57444.77,123
5753075,not provided,Millville,497,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,305369.31,2
5753075,not provided,Millville,497,2018,30030302,Intergovernmental - Local  - Capital Grants,REVENUES,Intergovernmental,Local,Capital Grants,49825,6
5754890,not provided,Huntington,455,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,113329.53,7
5759324,not provided,Spring City,847,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,246206.68,4
5760433,not provided,Centerfield City,1025,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,170000,3
5760997,not provided,Santaquin,577,2018,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,69000.11,7
5760997,not provided,Santaquin,577,2019,30030101,Intergovernmental - Federal - Operating Grants,REVENUES,Intergovernmental,Federal,Operating Grants,262230.96,7
5760997,not provided,Santaquin,577,2019,30030102,Intergovernmental - Federal - Capital Grants,REVENUES,Intergovernmental,Federal,Capital Grants,235597.59,9
5760997,not provided,Santaquin,577,2019,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,55100.53,20
5760997,not provided,Santaquin,577,2019,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,327261,1
5761004,not applicable,Santaquin,577,2018,40060400,Grants and Contracts - Private,EXPENDITURES,Grants and Contracts,Private,NA,80419.2,1
5761500,not provided,Holden,1267,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,55625,5
5762132,not provided,Garden City,427,2018,30030201,Intergovernmental - State  - Operating Grants,REVENUES,Intergovernmental,State,Operating Grants,828592.31,1
5762132,not provided,Garden City,427,2018,30030202,Intergovernmental - State  - Capital Grants,REVENUES,Intergovernmental,State,Capital Grants,350000,1
